# pixel value, red, green, blue
1,128,0,0
2,128,0,0
3,130,0,0
4,130,0,0
5,133,0,0
6,133,0,0
7,135,0,0
8,135,0,0
9,138,0,0
10,138,0,0
11,140,0,0
12,140,0,0
13,143,0,0
14,143,0,0
15,145,0,0
16,145,0,0
17,148,0,0
18,148,0,0
19,150,0,0
20,150,0,0
21,153,0,0
22,153,0,0
23,156,0,0
24,156,0,0
25,158,0,0
26,158,0,0
27,161,0,0
28,161,0,0
29,163,0,0
30,163,0,0
31,166,0,0
32,166,0,0
33,168,0,0
34,168,0,0
35,171,0,0
36,171,0,0
37,173,0,0
38,173,0,0
39,176,0,0
40,176,0,0
41,179,0,0
42,179,0,0
43,181,0,0
44,181,0,0
45,184,0,0
46,184,0,0
47,186,0,0
48,186,0,0
49,189,0,0
50,189,0,0
51,191,0,0
52,191,0,0
53,194,0,0
54,194,0,0
55,196,0,0
56,196,0,0
57,199,0,0
58,199,0,0
59,201,0,0
60,201,0,0
61,204,0,0
62,204,0,0
63,207,0,0
64,207,0,0
65,209,0,0
66,209,0,0
67,212,0,0
68,212,0,0
69,214,0,0
70,214,0,0
71,217,0,0
72,217,0,0
73,217,0,0
74,219,0,0
75,222,0,0
76,222,0,0
77,222,0,0
78,224,0,0
79,227,0,0
80,227,0,0
81,227,0,0
82,230,0,0
83,232,0,0
84,232,0,0
85,232,0,0
86,235,0,0
87,237,0,0
88,237,0,0
89,237,0,0
90,240,0,0
91,242,0,0
92,242,0,0
93,242,0,0
94,245,0,0
95,245,0,0
96,247,0,0
97,247,0,0
98,250,0,0
99,250,0,0
100,252,0,0
101,252,0,0
102,255,0,0
103,255,0,0
104,255,0,0
105,255,0,0
106,255,0,0
107,255,74,0
108,255,74,0
109,255,74,0
110,255,138,0
111,255,138,0
112,255,138,0
113,255,186,0
114,255,186,0
115,255,222,0
116,255,245,0
117,255,245,0
118,255,255,0
119,250,255,0
120,235,255,0
121,204,255,0
122,107,255,0
123,128,255,0
124,94,222,64
125,64,191,128
126,33,158,191
127,0,128,255
128,0,115,255
129,0,92,255
130,0,74,255
131,0,64,255
132,0,51,255
133,0,38,255
134,0,36,255
135,0,28,255
136,0,23,255
137,0,18,255
138,0,15,255
139,0,10,255
140,0,8,255
141,0,8,255
142,0,8,255
143,0,3,255
144,0,3,255
145,0,3,255
146,0,3,255
147,0,0,255
148,0,0,255
149,0,0,255
150,0,0,255
151,0,0,255
152,0,0,255
153,0,0,255
154,0,0,255
155,0,0,255
156,0,0,255
157,0,0,255
158,0,0,255
159,0,0,255
160,0,0,255
161,0,0,247
162,0,0,242
163,0,0,237
164,0,0,235
165,0,0,232
166,0,0,227
167,0,0,227
168,0,0,222
169,0,0,222
170,0,0,219
171,0,0,217
172,0,0,214
173,0,0,214
174,0,0,212
175,0,0,209
176,0,0,209
177,0,0,209
178,0,0,207
179,0,0,207
180,0,0,204
181,0,0,204
182,0,0,204
183,0,0,201
184,0,0,201
185,0,0,201
186,0,0,201
187,0,0,199
188,0,0,199
189,0,0,199
190,0,0,199
191,0,0,199
192,0,0,196
193,0,0,196
194,0,0,196
195,0,0,196
196,0,0,196
197,0,0,196
198,0,0,196
199,0,0,194
200,0,0,194
201,0,0,194
202,0,0,194
203,0,0,194
204,0,0,194
205,0,0,194
206,0,0,194
207,0,0,194
208,0,0,194
209,0,0,194
210,0,0,194
211,0,0,194
212,0,0,194
213,0,0,194
214,0,0,194
215,0,0,194
216,0,0,194
217,0,0,194
218,0,0,194
219,0,0,194
220,0,0,194
221,0,0,194
222,0,0,194
223,0,0,191
224,0,0,191
225,0,0,191
226,0,0,191
227,0,0,191
228,0,0,191
229,0,0,191
230,0,0,191
231,0,0,191
232,0,0,191
233,0,0,191
234,0,0,191
235,0,0,191
236,0,0,191
237,0,0,191
238,0,0,191
239,0,0,191
240,0,0,191
241,0,0,191
242,0,0,191
243,0,0,191
244,0,0,191
245,0,0,191
246,0,0,191
247,0,0,191
248,0,0,191
249,0,0,191
250,0,0,191
251,0,0,191
252,0,0,191
253,0,0,191
254,0,0,191
255,0,0,191
