# pixel value, red, green, blue
1,128,0,0
2,128,0,0
3,130,0,0
4,130,0,0
5,133,0,0
6,133,0,0
7,135,0,0
8,135,0,0
9,138,0,0
10,138,0,0
11,140,0,0
12,140,0,0
13,143,0,0
14,143,0,0
15,145,0,0
16,145,0,0
17,148,0,0
18,148,0,0
19,150,0,0
20,150,0,0
21,153,0,0
22,153,0,0
23,156,0,0
24,156,0,0
25,158,0,0
26,158,0,0
27,161,0,0
28,161,0,0
29,163,0,0
30,163,0,0
31,166,0,0
32,166,0,0
33,166,0,0
34,168,0,0
35,171,0,0
36,171,0,0
37,171,0,0
38,173,0,0
39,176,0,0
40,176,0,0
41,176,0,0
42,179,0,0
43,181,0,0
44,181,0,0
45,184,0,0
46,184,0,0
47,186,0,0
48,186,0,0
49,189,0,0
50,189,0,0
51,191,0,0
52,191,0,0
53,194,0,0
54,194,0,0
55,194,0,0
56,196,0,0
57,199,0,0
58,199,0,0
59,199,0,0
60,201,0,0
61,204,0,0
62,204,0,0
63,204,0,0
64,207,0,0
65,209,0,0
66,209,0,0
67,209,0,0
68,212,0,0
69,214,0,0
70,214,0,0
71,214,0,0
72,217,0,0
73,217,0,0
74,219,0,0
75,219,0,0
76,222,0,0
77,222,0,0
78,224,0,0
79,224,0,0
80,227,0,0
81,227,0,0
82,230,0,0
83,232,0,0
84,232,0,0
85,232,0,0
86,235,0,0
87,237,0,0
88,237,0,0
89,237,0,0
90,240,0,0
91,242,0,0
92,242,0,0
93,242,0,0
94,245,0,0
95,245,0,0
96,247,0,0
97,247,0,0
98,250,0,0
99,250,0,0
100,252,0,0
101,252,0,0
102,255,0,0
103,255,0,0
104,255,0,0
105,255,0,0
106,255,0,0
107,255,74,0
108,255,74,0
109,255,74,0
110,255,138,0
111,255,138,0
112,255,138,0
113,255,186,0
114,255,186,0
115,255,222,0
116,255,245,0
117,255,245,0
118,255,255,0
119,250,255,0
120,235,255,0
121,204,255,0
122,107,255,0
123,38,255,0
124,0,255,107
125,0,255,204
126,0,255,250
127,0,245,255
128,0,122,252
129,0,107,245
130,0,94,237
131,0,87,235
132,0,79,230
133,0,64,224
134,0,56,219
135,0,48,214
136,0,41,212
137,0,33,207
138,0,28,204
139,0,23,204
140,0,20,201
141,0,15,199
142,0,13,196
143,0,13,196
144,0,8,194
145,0,8,194
146,0,5,194
147,0,5,194
148,0,5,194
149,0,5,194
150,0,0,191
151,0,0,191
152,0,0,191
153,0,0,191
154,0,0,191
155,0,0,191
156,0,0,191
157,0,0,191
158,0,0,191
159,0,0,191
160,0,0,191
161,0,0,191
162,0,0,189
163,0,0,189
164,0,0,189
165,0,0,186
166,0,0,186
167,0,0,186
168,0,0,186
169,0,0,186
170,0,0,184
171,0,0,184
172,0,0,184
173,0,0,181
174,0,0,181
175,0,0,181
176,0,0,181
177,0,0,179
178,0,0,179
179,0,0,179
180,0,0,176
181,0,0,176
182,0,0,176
183,0,0,176
184,0,0,176
185,0,0,173
186,0,0,173
187,0,0,173
188,0,0,171
189,0,0,171
190,0,0,171
191,0,0,171
192,0,0,168
193,0,0,168
194,0,0,168
195,0,0,166
196,0,0,166
197,0,0,166
198,0,0,166
199,0,0,166
200,0,0,163
201,0,0,163
202,0,0,163
203,0,0,163
204,0,0,161
205,0,0,161
206,0,0,161
207,0,0,158
208,0,0,158
209,0,0,158
210,0,0,158
211,0,0,158
212,0,0,156
213,0,0,156
214,0,0,156
215,0,0,153
216,0,0,153
217,0,0,153
218,0,0,153
219,0,0,150
220,0,0,150
221,0,0,150
222,0,0,148
223,0,0,148
224,0,0,148
225,0,0,148
226,0,0,145
227,0,0,145
228,0,0,145
229,0,0,143
230,0,0,143
231,0,0,143
232,0,0,143
233,0,0,143
234,0,0,140
235,0,0,140
236,0,0,140
237,0,0,140
238,0,0,138
239,0,0,138
240,0,0,138
241,0,0,135
242,0,0,135
243,0,0,135
244,0,0,135
245,0,0,135
246,0,0,133
247,0,0,133
248,0,0,133
249,0,0,130
250,0,0,130
251,0,0,130
252,0,0,130
253,0,0,128
254,0,0,128
255,0,0,128
