# pixel value, red, green, blue
0,0,0,0
1,214,181,240
2,89,0,0
3,89,0,0
4,89,0,0
5,89,0,0
6,89,0,0
7,89,0,0
8,89,0,0
9,89,0,0
10,89,0,0
11,89,0,0
12,89,0,0
13,89,0,0
14,89,0,0
15,89,0,0
16,89,0,0
17,89,0,0
18,89,0,0
19,89,0,0
20,89,0,0
21,89,0,0
22,89,0,0
23,89,0,0
24,89,0,0
25,89,0,0
26,89,0,0
27,89,0,0
28,89,0,0
29,89,0,0
30,89,0,0
31,89,0,0
32,89,0,0
33,89,0,0
34,89,0,0
35,89,0,0
36,89,0,0
37,89,0,0
38,89,0,0
39,89,0,0
40,89,0,0
41,89,0,0
42,89,0,0
43,89,0,0
44,89,0,0
45,89,0,0
46,89,0,0
47,89,0,0
48,89,0,0
49,89,0,0
50,89,0,0
51,92,0,0
52,92,0,0
53,92,0,0
54,92,0,0
55,92,0,0
56,92,0,0
57,92,0,0
58,94,0,0
59,94,0,0
60,97,0,0
61,97,0,0
62,97,0,0
63,97,0,0
64,99,0,0
65,102,0,0
66,102,0,0
67,102,0,0
68,105,0,0
69,107,0,0
70,107,0,0
71,110,0,0
72,112,0,0
73,112,0,0
74,115,0,0
75,117,0,0
76,120,0,0
77,122,0,0
78,125,0,0
79,125,0,0
80,130,0,0
81,133,0,0
82,135,0,0
83,138,0,0
84,140,0,0
85,143,0,0
86,148,0,0
87,150,0,0
88,156,0,0
89,158,0,0
90,163,0,0
91,168,0,0
92,173,0,0
93,181,0,0
94,186,0,0
95,194,0,0
96,199,0,0
97,207,0,0
98,214,0,0
99,224,0,0
100,232,0,0
101,242,0,0
102,252,0,0
103,255,10,0
104,255,20,0
105,255,31,0
106,255,41,0
107,255,51,0
108,255,64,0
109,255,74,0
110,255,94,0
111,255,115,0
112,255,138,0
113,255,166,0
114,255,194,0
115,255,222,0
116,232,227,0
117,212,230,0
118,191,235,0
119,171,240,0
120,148,245,0
121,128,250,0
122,107,255,0
123,99,240,31
124,92,222,64
125,64,189,125
126,33,158,191
127,18,138,222
128,0,128,255
129,0,117,255
130,0,107,255
131,0,97,255
132,0,89,255
133,0,79,255
134,0,69,255
135,0,59,255
136,0,48,255
137,0,38,255
138,0,28,255
139,0,20,255
140,0,0,255
141,0,0,255
142,0,0,252
143,0,0,252
144,0,0,250
145,0,0,250
146,0,0,247
147,0,0,247
148,0,0,245
149,0,0,245
150,0,0,245
151,0,0,242
152,0,0,242
153,0,0,242
154,0,0,240
155,0,0,237
156,0,0,237
157,0,0,237
158,0,0,235
159,0,0,235
160,0,0,232
161,0,0,232
162,0,0,232
163,0,0,230
164,0,0,227
165,0,0,227
166,0,0,227
167,0,0,224
168,0,0,224
169,0,0,222
170,0,0,222
171,0,0,222
172,0,0,219
173,0,0,217
174,0,0,217
175,0,0,217
176,0,0,214
177,0,0,214
178,0,0,214
179,0,0,212
180,0,0,212
181,0,0,209
182,0,0,209
183,0,0,207
184,0,0,207
185,0,0,204
186,0,0,204
187,0,0,204
188,0,0,201
189,0,0,201
190,0,0,199
191,0,0,199
192,0,0,196
193,0,0,196
194,0,0,194
195,0,0,194
196,0,0,194
197,0,0,191
198,0,0,191
199,0,0,191
200,0,0,189
201,0,0,186
202,0,0,186
203,0,0,186
204,0,0,184
205,0,0,184
206,0,0,181
207,0,0,181
208,0,0,181
209,0,0,179
210,0,0,176
211,0,0,176
212,0,0,176
213,0,0,173
214,0,0,173
215,0,0,171
216,0,0,171
217,0,0,171
218,0,0,168
219,0,0,166
220,0,0,166
221,0,0,166
222,0,0,163
223,0,0,163
224,0,0,163
225,0,0,161
226,0,0,161
227,0,0,158
228,0,0,158
229,0,0,156
230,0,0,156
231,0,0,153
232,0,0,153
233,0,0,153
234,0,0,150
235,0,0,150
236,0,0,148
237,0,0,148
238,0,0,145
239,0,0,145
240,0,0,143
241,0,0,143
242,0,0,143
243,0,0,140
244,0,0,140
245,0,0,140
246,0,0,138
247,0,0,135
248,0,0,135
249,0,0,135
250,0,0,133
251,0,0,133
252,0,0,130
253,0,0,130
254,0,0,130
255,0,0,128
